Pclass,Age,Fare,FamilySize,HasCabin,Sex_male,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Rare
3,0.036298327961361045,0.5138115038918489,-0.5563385795422586,0,True,False,True,False,True,False,False
2,0.036298327961361045,-0.6625632269369692,-0.5563385795422586,0,True,False,True,False,True,False,False
1,0.036298327961361045,3.9553985809041556,-0.5563385795422586,1,True,False,True,False,True,False,False
3,-0.8689877777712186,-0.4678743521312413,0.07341192703021858,0,False,False,True,False,False,True,False
2,0.11173883677240935,-0.11597681371233177,0.7031624336026958,0,False,False,True,False,False,True,False
3,-0.6426662513380738,-0.48696219079802316,-0.5563385795422586,0,True,False,True,False,True,False,False
3,-0.2654637072828322,0.5138115038918489,-0.5563385795422586,0,True,False,True,False,True,False,False
1,0.036298327961361045,4.075039579498675,-0.5563385795422586,0,True,False,False,False,True,False,False
3,0.036298327961361045,-0.5011900954135049,-0.5563385795422586,0,True,True,False,False,True,False,False
3,0.11173883677240935,-0.2877611150115036,0.07341192703021858,0,False,False,True,False,False,True,False
1,1.997751557048617,0.07662982713825477,-0.5563385795422586,1,True,False,False,False,False,False,True
3,-0.6426662513380738,-0.45798374084431925,0.07341192703021858,0,False,False,True,True,False,False,False
3,0.036298327961361045,0.7856304888639273,5.741166486182514,0,True,False,True,False,True,False,False
1,1.997751557048617,-0.10973011184690733,-0.5563385795422586,0,True,False,True,False,True,False,False
3,-0.6426662513380738,-0.5001489784359341,-0.5563385795422586,0,True,False,True,False,True,False,False
1,0.26261985439450597,1.2114473326903592,0.07341192703021858,1,False,True,False,True,False,False,False
3,-0.6426662513380738,-0.5015378284840135,-0.5563385795422586,0,True,True,False,False,True,False,False
3,0.036298327961361045,-0.5116012651892122,-0.5563385795422586,0,True,False,True,False,True,False,False
3,1.017024942504989,-0.5282591368303441,-0.5563385795422586,0,True,False,True,False,True,False,False
3,-0.6426662513380738,-0.13228695228295498,1.9626634467476503,0,False,False,True,True,False,False,False
3,0.036298327961361045,-0.32732356015919156,0.07341192703021858,0,True,False,True,False,True,False,False
